pop_rank,county,Total MSW Managed 2015,Total MSW Managed 2016,Total MSW Managed 2017,Total MSW Managed 2018,Total MSW Managed 2019,Total MSW Managed 2020,Landfilled Tons 2015 ,Landfilled Tons 2016 ,Landfilled Tons 2017 ,Landfilled Tons 2018 ,Landfilled Tons 2019 ,Landfilled Tons 2020 
1,Miami-Dade ,"3,522,403","4,389,704","5,062,400","4,951,761","4,264,169","4,346,993","1,673,229","2,276,830","3,314,773","3,592,050","3,048,221","2,988,584"
2,Broward ,"3,694,997","3,598,692","3,889,119","3,861,856","3,905,355","4,100,847","1,525,169","1,765,103","1,956,284","2,150,692","2,134,756","2,267,029"
3,Hillsborough ,"2,205,823","2,379,846","3,070,614","3,302,416","3,433,090","3,046,624","467,479","426,191","905,603","1,252,920","832,808","1,176,296"
4,Palm Beach ,"1,766,346","3,101,065","3,447,795","3,925,229","3,061,922","3,660,769","583,949","597,801","756,235","972,965","1,218,865","812,941"
5,Orange ,"2,635,275","2,164,434","3,349,711","3,653,664","3,805,786","3,341,539","1,266,507","864,340","2,302,860","2,346,413","2,521,112","2,342,051"
6,Pinellas ,"1,446,071","2,015,378","2,147,111","2,292,509","2,412,099","2,369,335","258,378","423,455","531,298","525,609","458,037","573,381"
7,Duval ,"1,888,594","2,142,504","2,958,149","2,860,587","2,752,896","2,759,113","999,922","1,079,342","1,243,167","1,253,079","1,182,079","1,299,134"
8,Lee ,"1,313,017","1,392,221","1,601,347","1,964,787","2,274,100","2,211,334","273,259","318,923","359,673","517,707","517,563","550,616"
9,Polk ,"951,207","1,164,632","1,120,739","1,233,075","1,180,928","1,140,673","735,064","784,034","811,474","815,772","776,571","789,048"
10,Brevard ,"1,523,546","1,507,729","1,630,157","1,636,976","1,829,735","1,806,404","622,242","655,204","714,271","742,764","795,617","730,023"
11,Volusia ,"886,835","1,061,885","1,115,115","1,615,010","1,439,180","1,473,869","537,793","617,736","669,735","876,845","736,590","749,178"
12,Pasco ,"722,908","825,451","975,804","1,088,057","1,154,749","1,131,874","214,997","257,581","345,787","405,940","426,552","460,283"
13,Seminole ,"478,663","549,467","705,165","573,440","664,352","641,144","306,935","385,809","422,041","385,642","392,098","432,181"
14,Sarasota ,"882,506","877,697","1,243,176","1,251,326","1,341,307","1,617,801","362,328","347,969","697,863","745,105","702,508","849,948"
15,Manatee ,"525,311","798,377","904,085","1,006,155","1,006,682","1,087,791","278,783","384,400","395,630","391,889","389,607","394,006"
16,Collier ,"654,734","926,237","1,183,316","1,456,683","1,438,214","1,670,569","289,594","384,142","445,875","594,471","524,069","500,649"
17,Osceola ,"501,050","372,869","418,869","321,840","311,423","240,010","298,225","276,454","361,148","267,993","185,276","155,236"
18,Marion ,"369,033","413,235","800,225","634,909","1,108,133","1,130,438","180,627","200,454","320,612","426,262","452,957","680,876"
19,Lake ,"176,370","166,928","436,139","532,113","567,461","553,452","143,470","120,482","348,914","398,658","354,851","356,046"
20,Escambia ,"433,379","566,936","744,001","631,419","643,663","693,586","262,362","321,632","381,934","376,465","416,129","449,116"
21,St. Lucie ,"441,767","451,278","503,942","534,059","545,264","550,835","203,638","200,638","239,103","260,827","294,062","318,944"
22,Leon ,"443,377","461,951","707,783","756,802","673,755","720,177","219,208","219,531","250,434","305,014","298,789","285,494"
23,Alachua ,"496,907","565,890","787,986","802,584","566,825","560,035","194,490","257,984","267,906","240,928","252,755","298,463"
24,St. Johns ,"292,637","422,095","435,273","475,544","454,109","525,341","216,842","332,744","352,084","390,888","381,647","375,812"
25,Clay ,"196,274","207,715","271,651","248,750","228,819","255,077","145,714","155,878","217,925","199,812","178,518","205,565"
26,Okaloosa ,"223,184","212,409","322,994","315,774","334,546","409,447","170,324","165,973","260,059","264,336","283,850","364,196"
27,Hernando ,"393,481","601,025","268,846","202,652","225,030","252,616","160,847","187,596","183,517","139,763","177,789","174,734"
28,Charlotte ,"313,352","264,732","835,720","988,618","969,437","1,004,809","206,229","225,383","230,605","251,491","250,103","228,450"
29,Santa Rosa ,"379,531","393,853","279,606","319,716","313,191","319,972","168,606","186,490","217,767","252,844","244,989","283,360"
30,Bay ,"167,346","192,986","461,013","388,316","487,843","571,513","117,229","136,901","214,275","184,528","310,857","399,789"
31,Martin ,"280,512","328,914","372,794","392,345","488,462","553,572","118,600","146,308","183,585","187,750","281,162","300,048"
32,Indian River ,"283,821","419,888","514,319","562,751","587,471","471,750","187,034","199,427","187,368","189,106","201,894","223,689"
33,Citrus ,"126,330","131,913","188,262","260,442","227,668","222,710","59,899","64,760","97,729","159,063","142,581","162,865"
34,Sumter ,"132,574","253,882","300,354","132,451","141,875","147,264","101,185","93,073","81,915","66,919","65,910","63,120"
35,Flagler ,"171,853","161,003","77,606","107,631","107,510","149,671","144,554","142,335","57,745","61,241","47,014","83,271"
36,Highlands ,"129,916","123,823","78,365","131,503","119,889","145,357","95,481","102,509","34,635","82,503","96,838","103,661"
37,Nassau ,"190,345","173,296","179,102","186,920","194,034","184,192","143,649","135,558","133,173","133,989","141,859","130,705"
38,Monroe ,"276,710","353,658","656,783","441,165","302,589","266,542","86,975","74,793","251,462","145,978","116,364","100,802"
39,Walton ,"163,660","113,671","178,978","134,437","110,251","176,923","157,293","101,391","166,449","120,898","80,317","163,467"
40,Putnam ,"110,537","144,982","119,525","109,673","124,605","100,887","63,815","61,652","72,267","73,424","74,433","77,381"
41,Columbia ,"83,673","92,333","89,025","101,986","126,576","106,178","62,091","67,156","63,495","65,173","113,359","66,535"
42,Jackson ,"39,721","62,578","49,675","67,973","80,008","54,007","35,854","56,693","42,934","60,667","71,489","46,504"
43,Gadsden ,"67,633","46,934","36,731","29,813","28,475","21,485","61,698","37,522","26,189","25,729","25,275","16,729"
44,Suwannee ,"157,597","141,396","173,504","53,613","59,957","57,077","102,364","124,364","141,877","37,910","33,481","45,355"
45,Okeechobee ,"51,066","59,648","62,533","68,887","29,189","59,409","20,597","14,382","53,265","59,864","26,649","45,946"
46,Levy ,"56,605","197,219","33,345","28,997","60,803","30,850","50,094","185,194","29,481","24,339","49,913","28,277"
47,Hendry ,"30,968","33,135","56,522","79,127","62,644","57,135","27,545","29,764","24,944","40,891","51,689","44,962"
48,Desoto ,"32,342","65,944","46,518","93,933","37,933","45,095","28,775","40,980","41,260","90,397","33,952","38,483"
49,Wakulla ,"13,883","31,853","20,788","13,099","16,997","17,940","11,792","20,733","16,901","10,512","15,292","15,389"
50,Bradford ,"20,979","21,138","28,232","29,730","31,627","31,205","18,426","19,551","19,105","19,746","21,366","21,861"
51,Baker ,"24,821","25,747","23,108","26,599","29,272","40,345","16,051","17,554","19,172","21,787","24,380","24,044"
52,Hardee ,"19,202","20,770","19,980","22,588","25,581","24,873","16,754","17,915","19,411","20,282","20,804","21,219"
53,Washington ,"14,995","22,173","16,727","20,349","15,104","41,114","14,353","20,036","15,203","18,865","14,278","37,610"
54,Taylor ,"19,603","21,876","21,054","46,498","24,209","27,746","16,373","18,205","17,215","39,232","17,996","20,241"
55,Holmes ,"4,390","5,528","5,968","4,692","3,637","6,990","3,711","4,485","4,819","3,831","3,235","5,882"
56,Madison ,"14,519","13,304","16,580","16,442","24,117","22,877","8,284","8,391","12,661","14,061","13,626","17,325"
57,Gilchrist ,"8,428","9,537","5,989","7,735","8,465","11,030","7,959","8,432","4,142","4,408","4,908","8,200"
58,Dixie ,"11,538","10,463","11,078","10,201","10,082","13,074","11,022","10,222","10,819","9,715","10,034","13,010"
59,Union ,"10,322","9,276","8,941","9,441","9,270","10,602","8,364","8,441","8,313","8,946","8,840","10,033"
60,Gulf ,"17,471","18,300","12,910","12,679","13,265","18,019","16,894","17,627","12,833","12,564","7,461","15,742"
61,Hamilton ,"18,803","13,923","5,461","13,151","12,534","4,360","11,359","11,856","3,610","8,531","8,372","3,934"
62,Calhoun ,"12,474","12,084","12,670","12,518","12,219","21,722","11,269","11,364","11,997","11,805","11,065","19,198"
63,Jefferson ,"22,583","23,676","15,906","18,824","15,430","13,256","19,960","21,264","11,854","12,626","15,247","12,912"
64,Glades ,"9,346","13,211","24,449","25,741","24,138","38,365","7,457","12,120","15,715","24,894","21,591","38,300"
65,Franklin ,"24,152","24,817","17,769","27,519","22,578","19,330","18,844","18,844","9,626","26,757","22,149","18,435"
66,Lafayette ,"3,865","3,618","3,821","2,970","3,597","3,973","3,319","3,345","3,366","2,760","3,167","3,766"
67,Liberty ,"6,352","6,660","2,650","2,933","3,142","3,351","5,950","6,150","2,625","2,888","2,862","3,129"
,,,,,,,,,,,,,
,,,,,,,,,,,,,